id,description
ABS_ANNUAL_ERP_ASGS2016,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 3235.0"
ABS_ANNUAL_ERP_ASGS2021,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 3235.0"
ABS_ANNUAL_ERP_LGA2016,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2016. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2017,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2017. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2018,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2018. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2019,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2019. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2020,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2020. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2021,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2021. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2022,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2021. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2023,"Estimated Resident Population (ERP) is the official measure of the Australian population. ERP for sub-state regions (including SA2s and LGAs) is published annually, with a reference date of 30 June. Unit of measure: Persons. Geographic coverage: LGA2021. Catalogue number: 3218.0"
ABS_ANNUAL_ERP_LGA2024,"Statistics about the population by age and sex for Australia's Local Government Areas. Unit of measure: Persons. Geographic coverage: LGA2024. Catalogue number: 3235.0"
ABS_C16_G43_LGA,"Census 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Labour force status by sex of parents by age of dependent children for Couple families, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G43_SA,"ASGS 2016 LGA based data for Total Labour force status by sex of parent by age of dependent children for one parent families, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G44_LGA,"Census 2016 LGA based data for Total Labour force status by sex of parents by age of dependent children for Couple families, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G44_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Labour force status by sex of parents by age of dependent children for Couple families, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G45_LGA,"Census 2016 LGA based data for Total Labour force status by sex of parent by age of dependent children for one parent families, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G45_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Labour force status by sex of parent by age of dependent children for one parent families, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G46_LGA,"Census 2016 LGA based data for Total Non-school qualification: Level of Education by age by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G46_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Non-school qualification: Level of Education by age by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G47_LGA,"Census 2016 LGA based data for Total Non-school qualification: Field of Study by age by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G47_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Non-school Qualification: Field of Study by age by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G48_LGA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Non-school Qualification: Field of study by occupation by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G48_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Non-school Qualification: Field of study by occupation by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G49_LGA,"Census 2016 LGA based data for Total Non-school Qualification Level of Education by occupation by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G49_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Non-school Qualification Level of Education by occupation by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G50_LGA,"Census 2016 LGA based data for Total Non-school Qualification: Level of Education by Industry of employment by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G50_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Non-school Qualification: Level of Education by Industry of employment by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G51_LGA,"Census 2016 LGA based data for Total Industry of employment by age by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G51_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Industry of employment by age by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G52_LGA,"Census 2016 LGA based data for Total Industry of employment by hours worked by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G52_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Industry of employment by hours worked by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G53_LGA,"Census 2016 LGA based data for Industry of employment by occupation, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G53_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Industry of employment by occupation, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G56_LGA,"Census 2016 LGA based data for Total Family Income (weekly) by Labour Force Status by Family Composition , for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G56_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Family Income (weekly) by Labour Force Status by Family Composition , for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G57_LGA,"Census 2016 LGA based data for Total Occupation by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G57_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Occupation by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G58_LGA,"Census 2016 LGA based data for Total Occupation by Hours worked by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G58_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Occupation by Hours worked by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_G59_LGA,"Census 2016 LGA based data for Total Method of travel to work by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_G59_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Total Method of travel to work by sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T01_LGA,"ASGS 2016 LGA based data for Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T01_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T01_TS_LGA,"Time Series comparison of Census 2016 LGA based data for Age by Sex across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T01_TS_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Age by Sex across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T02_LGA,"Census 2016 LGA based data for Registered Marital Status by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T02_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Social Marital Status Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T02_TS_LGA,"Time Series comparison of Census 2016 LGA based data for Sex by Age by Registered Marital Status across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T02_TS_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Sex by Age by Registered Marital Status across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T03_LGA,"Census 2016 LGA based data for Social Marital Status Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T03_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Social Marital Status Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T03_TS_LGA,"Time Series comparison of Census 2016 LGA based data for Sex by Age by Social Marital Status across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T03_TS_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Sex by Age by Social Marital Status across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T04_LGA,"Census 2016 LGA based data for Indigenous Status by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T04_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Indigenous Status by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T04_TS_LGA,"Time Series comparison of Census 2016 LGA based data for Sex by Age by Indigenous Status across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T04_TS_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Sex by Age by Indigenous Status across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T05_LGA,"Census 2016 LGA based data for Ancestry Multi Response by Country of Birth of Parents, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T05_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Ancestry Multi Response by Country of Birth of Parents, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T06_LGA,"Census 2016 LGA based data for Country of Birth of Person by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T06_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Country of Birth of Person by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T07_LGA,"Census 2016 LGA based data for Country of Birth of Person by Year of arrival in Australia (ranges), for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T07_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Country of Birth of Person by Year of arrival in Australia (ranges), for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T08_LGA,"Census 2016 LGA based data for Proficiency in Spoken English/Language by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T08_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Sex by Age by Proficiency in Spoken English/Language across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T08_TS_LGA,"Time Series comparison of Census 2016 LGA based data for Sex by Age by Proficiency in Spoken English/Language across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T08_TS_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Sex by Age by Proficiency in Spoken English/Language across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T09_LGA,"Census 2016 LGA based data for Language spoken at home by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T09_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Language spoken at home by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T10_LGA,"Census 2016 LGA based data for Religious Affiliation by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T10_SA,"ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Religious Affiliation by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T11_LGA,"Census 2016 LGA based data for Educational Institution: Attendee Status by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T11_SA,"Australia/State/SA4/SA3/SA2/GCCSA based data for Educational Institution: Attendee Status by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T11_TS_LGA,"Time Series comparison of Census 2016 LGA based data for Educational Institution: Attendee Status by Sex across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T11_TS_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Educational Institution: Attendee Status by Sex across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T12_LGA,"Census 2016 LGA based data for Highest Year of School Completed by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T12_SA,"Australia/State/SA4/SA3/SA2/GCCSA based data for Highest Year of School Completed by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T12_TS_LGA,"Time Series comparison of Census 2016 LGA based data for Sex by Age by Highest Year of School Completed across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
ABS_C16_T12_TS_SA,"Time Series comparison of ASGS 2016 Australia/State/GCCSA/SA4/SA3/SA2 based data for Sex by Age by Highest Year of School Completed across 2016, 2011 and 2006. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: Australia/State/GCCSA/SA4/SA3/SA2. Catalogue number: 2916.0"
ABS_C16_T13_LGA,"Census 2016 LGA based data for Total Personal Income (weekly) by Age by Sex, for the 2016 Census of Population and Housing. Unit of measure: Count of all persons on Census night, based on place of usual residence. Excludes Overseas Visitors. Geographic coverage: LGA2016. Catalogue number: 2916.0"
